condition,subtask,n_trials,n_correct,accuracy
unified,full,177,99,0.559322033898305
unified,relations,200,67,0.335
unified,features,200,42,0.21
unified,features2,200,106,0.53
decomposed,full,19,14,0.7368421052631579
decomposed,relations,200,24,0.12
decomposed,features,200,17,0.085
decomposed,features2,200,0,0.0
